;WDH;SVIH;BCH;A20H;;;;;;;;;;
;0,145110352;0,004855814;0,006631579;0,001846154;;;;;;;;;;
;0,02648524;0,005675676;0,008327402;0,004;;;;;;;;;;
;0,007071429;0,011875;0,001285714;0,005793103;;;;;;;;;;
;0,009176471;0,018518732;0,004;0,006486486;;;;;;;;;;
;0,014538462;0,005675676;0,002366197;0,001285714;;;;;;;;;;
;0,016071156;0,004034483;0,002647059;0,001333333;;;;;;;;;;
;0,005526316;0,009333333;0,001;0,0036;;;;;;;;;;
;0,004666667;0,015428571;0,002;0,006804124;;;;;;;;;;
;0,008988327;0,001454545;0,002333333;0,001;;;;;;;;;;
;0,011032258;0,003857143;0,002554839;0,001;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
10;9;10;1;1;10;10;10;1;1;10;1;1;1;1
20;9;20;1;1;20;20;20;1;1;20;1;1;1;1
30;9;21;1;1;30;30;30;1;1;30;1;1;1;1
40;9;21;1;1;100;100;100;0;0;40;1;1;1;1
50;9;21;1;1;1;1;1;0;0;50;1;1;1;1
60;9;21;1;1;;;;;;60;1;1;1;1
70;9;21;1;1;;;;;;70;1;1;1;1
80;9;21;1;1;;;;;;80;1;1;1;1
90;9;21;1;1;;;;;;90;1;1;1;1
100;9;21;1;1;;;;;;100;1;1;1;1
916,6666667;0;11,95555556;0;0;;;;;;916,6666667;;;;
1;0;0,013042424;0;0;;;;;;1;;;;
